userid,month,revenue,subscription_plan,timestamp,Age,Gender,spotify_usage_period,spotify_listening_device,spotify_subscription_plan,premium_sub_willingness,preffered_premium_plan,preferred_listening_content,fav_music_genre,music_time_slot,music_Influencial_mood,music_lis_frequency,music_expl_method,music_recc_rating,pod_lis_frequency,fav_pod_genre,preffered_pod_format,pod_host_preference,preffered_pod_duration,pod_variety_satisfaction
93,2023-01,0,Free,2023-01-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Not interested,Music,Melody,Night,Relaxation and stress relief,leisure time,recommendations,3,Never,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,Neutral
94,2023-01,0,Free,2023-01-01,12-20,Female,More than 2 years,Smartphone,Free (ad-supported),No,Not interested,Music,Melody,Morning,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists",4,Rarely,Comedy,Conversational,Both,Shorter,Satisfied
95,2023-01,0,Free,2023-01-01,20-35,Female,More than 2 years,"Smartphone, Wearable devices",Free (ad-supported),No,Not interested,Music,Melody,Morning,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, leisure time","recommendations, Playlists",3,Rarely,Food and cooking,Story telling,No preference / Not applicable,No preference / Not applicable,Neutral
96,2023-01,0,Free,2023-01-01,20-35,Male,More than 2 years,Smartphone,Free (ad-supported),No,Not interested,Music,Rap,Night,"Relaxation and stress relief, Uplifting and motivational",Office hours,Playlists,3,Rarely,Everything,Story telling,Well known individuals,Both,Neutral
97,2023-01,0,Free,2023-01-01,20-35,Male,1 year to 2 years,Smartphone,Free (ad-supported),No,Not interested,Music,Melody,Night,Relaxation and stress relief,leisure time,Playlists,3,Never,Sports,No preference / Not applicable,Both,Shorter,Neutral
98,2023-01,0,Free,2023-01-01,20-35,Female,6 months to 1 year,"Smartphone, Computer or laptop",Free (ad-supported),No,Not interested,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","While Traveling, Workout session, leisure time",recommendations,3,Never,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,Neutral
99,2023-01,60000,Premium,2023-01-01,20-35,Female,More than 2 years,Smartphone,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists",5,Rarely,Comedy,Story telling,Well known individuals,Shorter,Satisfied
100,2023-01,60000,Premium,2023-01-01,20-35,Female,More than 2 years,"Smartphone, Smart speakers or voice assistants",Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Pop,Night,"Relaxation and stress relief, Social gatherings or parties",leisure time,recommendations,3,Never,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,Neutral
101,2023-01,60000,Premium,2023-01-01,20-35,Male,More than 2 years,Smartphone,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Office hours, While Traveling, Workout session, leisure time","recommendations, Playlists, Radio",5,Never,No preference / Not applicable,Story telling,No preference / Not applicable,No preference / Not applicable,Satisfied
102,2023-01,0,Free,2023-01-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,Music,Melody,Night,Relaxation and stress relief,While Traveling,Playlists,4,Rarely,No preference / Not applicable,Story telling,No preference / Not applicable,No preference / Not applicable,Neutral
103,2023-01,0,Free,2023-01-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Not interested,Music,Pop,Afternoon,Relaxation and stress relief,Office hours,recommendations,4,Rarely,Lifestyle and Health,Educational,Well known individuals,Shorter,Satisfied
104,2023-01,0,Free,2023-01-01,20-35,Male,Less than 6 months,Smartphone,Free (ad-supported),No,Not interested,Music,classical,Night,Relaxation and stress relief,leisure time,recommendations,4,Never,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,Neutral
105,2023-01,0,Free,2023-01-01,20-35,Female,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,Not interested,Music,Melody,Morning,"Relaxation and stress relief, Sadness or melancholy","While Traveling, leisure time","recommendations, Playlists",3,Rarely,No preference / Not applicable,Interview,No preference / Not applicable,No preference / Not applicable,Neutral
106,2023-01,0,Free,2023-01-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Not interested,Music,Melody,Night,Sadness or melancholy,leisure time,Playlists,4,Never,No preference / Not applicable,Educational,Both,Shorter,Satisfied
107,2023-01,0,Free,2023-01-01,20-35,Male,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),No,Not interested,Music,Pop,Morning,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","Office hours, While Traveling",recommendations,4,Never,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,Neutral
108,2023-01,0,Free,2023-01-01,20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,Not interested,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","Study Hours, While Traveling, Workout session, leisure time",Others,4,Rarely,No preference / Not applicable,Educational,Well known individuals,Shorter,Neutral
109,2023-01,0,Free,2023-01-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Not interested,Music,Pop,Night,Relaxation and stress relief,leisure time,recommendations,3,Rarely,Comedy,Story telling,Well known individuals,Shorter,Neutral
110,2023-01,60000,Premium,2023-01-01,20-35,Female,More than 2 years,"Smartphone, Computer or laptop",Premium (paid subscription),Yes,Duo plan- Rs 149/month,Music,Pop,Night,Relaxation and stress relief,"While Traveling, leisure time","recommendations, Playlists",5,Rarely,Lifestyle and Health,Educational,Both,Shorter,Satisfied
111,2023-01,0,Free,2023-01-01,20-35,Male,Less than 6 months,Smartphone,Free (ad-supported),No,Not interested,Music,Melody,Night,Relaxation and stress relief,While Traveling,Playlists,4,Several times a week,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,Neutral
112,2023-01,0,Free,2023-01-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Not interested,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational",While Traveling,"recommendations, Playlists",4,Rarely,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,Neutral
113,2023-01,0,Free,2023-01-01,20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,Not interested,Music,Melody,Night,Relaxation and stress relief,While Traveling,recommendations,5,Rarely,No preference / Not applicable,Interview,No preference / Not applicable,No preference / Not applicable,Neutral
114,2023-01,0,Free,2023-01-01,20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,Not interested,Music,Kpop,Night,Relaxation and stress relief,"Office hours, While Traveling, Workout session","recommendations, Playlists",5,Once a week,Comedy,Conversational,No preference / Not applicable,Shorter,Satisfied
115,2023-01,0,Free,2023-01-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Not interested,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling, leisure time",recommendations,4,Never,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,Neutral
116,2023-01,0,Free,2023-01-01,20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,Not interested,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling, Workout session, leisure time",Playlists,4,Once a week,Health and Fitness,Conversational,Both,Shorter,Satisfied
117,2023-01,60000,Premium,2023-01-01,20-35,Male,More than 2 years,Smartphone,Premium (paid subscription),No,Not interested,Music,classical,Night,Relaxation and stress relief,leisure time,recommendations,1,Never,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,Neutral
118,2023-01,60000,Premium,2023-01-01,20-35,Male,More than 2 years,"Smartphone, Computer or laptop",Premium (paid subscription),No,Not interested,Music,All,Night,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties","Office hours, Study Hours, While Traveling, Workout session, leisure time","recommendations, Playlists, Radio",2,Rarely,Informative stuff,Conversational,Well known individuals,Longer,Neutral
119,2023-01,0,Free,2023-01-01,20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,Not interested,Music,Melody,Night,Relaxation and stress relief,"While Traveling, leisure time",recommendations,4,Several times a week,Lifestyle and Health,Conversational,Both,Shorter,Neutral
120,2023-01,0,Free,2023-01-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Not interested,Music,Melody,Morning,"Relaxation and stress relief, Uplifting and motivational",leisure time,Playlists,1,Rarely,Lifestyle and Health,Story telling,Both,Shorter,Dissatisfied
121,2023-01,0,Free,2023-01-01,20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,Not interested,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Office hours, While Traveling, leisure time","recommendations, Playlists",5,Never,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,Neutral
122,2023-01,0,Free,2023-01-01,20-35,Male,More than 2 years,"Smartphone, Computer or laptop",Free (ad-supported),Yes,Duo plan- Rs 149/month,Music,Pop,Night,"Relaxation and stress relief, Sadness or melancholy, Social gatherings or parties","While Traveling, leisure time",Others,3,Rarely,Comedy,Conversational,Well known individuals,Shorter,Neutral
123,2023-01,0,Free,2023-01-01,20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),No,Not interested,Music,Pop,Night,Uplifting and motivational,"While Traveling, leisure time","recommendations, Playlists",4,Rarely,Comedy,Conversational,Well known individuals,Shorter,Satisfied
124,2023-01,0,Free,2023-01-01,20-35,Female,More than 2 years,Smartphone,Free (ad-supported),No,Not interested,Podcast,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","Workout session, leisure time","recommendations, Playlists",4,Several times a week,Health and Fitness,Conversational,Well known individuals,Shorter,Satisfied
125,2023-01,0,Free,2023-01-01,20-35,Female,1 year to 2 years,Smartphone,Free (ad-supported),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy","Office hours, leisure time","recommendations, Playlists",4,Never,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,Neutral
126,2023-01,0,Free,2023-01-01,20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),No,Not interested,Podcast,Melody,Morning,Relaxation and stress relief,"While Traveling, leisure time",recommendations,3,Once a week,Lifestyle and Health,Conversational,unknown Podcasters,Both,Dissatisfied
127,2023-01,0,Free,2023-01-01,12-20,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Not interested,Music,Melody,Morning,Relaxation and stress relief,While Traveling,recommendations,4,Rarely,Lifestyle and Health,Conversational,Both,Shorter,Satisfied
128,2023-01,0,Free,2023-01-01,20-35,Female,6 months to 1 year,Smartphone,Free (ad-supported),Yes,Student Plan-Rs 59/month,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy",While Traveling,"recommendations, Others",4,Never,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,Neutral
129,2023-01,0,Free,2023-01-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Not interested,Music,Pop,Night,Relaxation and stress relief,leisure time,recommendations,4,Rarely,Comedy,Story telling,Both,Shorter,Satisfied
130,2023-01,0,Free,2023-01-01,20-35,Female,More than 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants",Free (ad-supported),No,Not interested,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy","While Traveling, leisure time","recommendations, Playlists, Others",3,Once a week,Lifestyle and Health,Conversational,Well known individuals,Shorter,Satisfied
131,2023-01,0,Free,2023-01-01,20-35,Female,More than 2 years,"Smartphone, Computer or laptop, Wearable devices",Free (ad-supported),No,Not interested,Music,Electronic/Dance,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","While Traveling, Workout session, leisure time","recommendations, Playlists, Others",4,Rarely,Health and Fitness,Conversational,Both,Shorter,Neutral
132,2023-01,0,Free,2023-01-01,20-35,Female,Less than 6 months,Smartphone,Free (ad-supported),No,Not interested,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational","While Traveling, leisure time",recommendations,3,Never,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,Neutral
133,2023-01,0,Free,2023-01-01,20-35,Male,1 year to 2 years,"Smartphone, Smart speakers or voice assistants",Free (ad-supported),No,Not interested,Music,Rap,Night,"Relaxation and stress relief, Uplifting and motivational",leisure time,recommendations,4,Never,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,Neutral
134,2023-01,0,Free,2023-01-01,20-35,Female,Less than 6 months,Wearable devices,Free (ad-supported),No,Not interested,Music,Melody,Morning,Relaxation and stress relief,leisure time,"recommendations, Others",3,Never,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,No preference / Not applicable,Neutral
